2018-04-26 18:10:16 status unpacked base-passwd:armhf 3.5.44
2018-04-26 18:10:16 status unpacked base-passwd:armhf 3.5.44
2018-04-26 18:10:16 install bash:armhf <none> 4.4.18-2ubuntu1
2018-04-26 18:10:16 status half-installed bash:armhf 4.4.18-2ubuntu1
2018-04-26 18:10:16 status unpacked bash:armhf 4.4.18-2ubuntu1
2018-04-26 18:10:16 status unpacked bash:armhf 4.4.18-2ubuntu1
2018-04-26 18:10:16 install bsdutils:armhf <none> 1:2.31.1-0.4ubuntu3
2018-04-26 18:10:16 status half-installed bsdutils:armhf 1:2.31.1-0.4ubuntu3
2018-04-26 18:10:16 status unpacked bsdutils:armhf 1:2.31.1-0.4ubuntu3
2018-04-26 18:10:16 status unpacked bsdutils:armhf 1:2.31.1-0.4ubuntu3
2018-04-26 18:10:16 install coreutils:armhf <none> 8.28-1ubuntu1
2018-04-26 18:10:16 status half-installed coreutils:armhf 8.28-1ubuntu1
2018-04-26 18:10:16 status unpacked coreutils:armhf 8.28-1ubuntu1
2018-04-26 18:10:16 status unpacked coreutils:armhf 8.28-1ubuntu1
2018-04-26 18:10:16 install dash:armhf <none> 0.5.8-2.10
2018-04-26 18:10:16 status half-installed dash:armhf 0.5.8-2.10
2018-04-26 18:10:16 status unpacked dash:armhf 0.5.8-2.10
2018-04-26 18:10:16 status unpacked dash:armhf 0.5.8-2.10
2018-04-26 18:10:16 install debconf:all <none> 1.5.66
2018-04-26 18:10:16 status half-installed debconf:all 1.5.66
2018-04-26 18:10:16 status unpacked debconf:all 1.5.66
2018-04-26 18:10:16 status unpacked debconf:all 1.5.66
2018-04-26 18:10:16 install debianutils:armhf <none> 4.8.4
2018-04-26 18:10:16 status half-installed debianutils:armhf 4.8.4
2018-04-26 18:10:16 status unpacked debianutils:armhf 4.8.4
2018-04-26 18:10:16 status unpacked debianutils:armhf 4.8.4
2018-04-26 18:10:16 install diffutils:armhf <none> 1:3.6-1
2018-04-26 18:10:16 status half-installed diffutils:armhf 1:3.6-1
2018-04-26 18:10:16 status unpacked diffutils:armhf 1:3.6-1
2018-04-26 18:10:16 status unpacked diffutils:armhf 1:3.6-1
2018-04-26 18:10:16 upgrade dpkg:armhf 1.19.0.5ubuntu2 1.19.0.5ubuntu2
2018-04-26 18:10:16 status half-configured dpkg:armhf 1.19.0.5ubuntu2
2018-04-26 18:10:16 status unpacked dpkg:armhf 1.19.0.5ubuntu2
2018-04-26 18:10:16 status half-installed dpkg:armhf 1.19.0.5ubuntu2
